Codigo;Evento;Precio;FechaHora
1;Gutenberg;5000;201812011600;
2;Abel Pintos;650;201811302200;
3;Andre Rieu;4500;201810072200;
4;Daddy Yankee;800;201812012300;
5;Los Pimpinielas;3000;201812072200;
6;Sebastian Yatra;850;201810132200;
7;Rata Blanca;2500;201812082200;
8;Jaime Roos;1000;201812092200;
9;Tony Kamo;1500;201810052200;
10;Damas Gratis;1250;201812142300;
11;Shakira;8000;201812141600;
12;Ricardo Montaner;7500;201806111600;
13;Mana;10000;201812111800;
14;La Golondrina;200;201812242300;
15;La Vela Puerca;399;201811052300;
16;NTVG;4999;201811102300;
